name,phone,type,character,loan_his,bank,amount,term,address,lat,lon,notes,time_visit,image_path,timestamp
Customer 1,0100000,Street Food Stall,Talkative and Engaging,Once,Wing,4954.26,18M,"Street 438, Phnom Penh",11.59566096168802,104.92000278191131,Need follow-up,12:00 AM,,2025-06-08 01:23:51
Customer 2,0100001,Street Food Stall,Aggressive or Pushy,Many times,Cambodia Post Bank,6138.65,18M,"Street 210, Phnom Penh",11.551719822051478,104.91527310308648,Need follow-up,5:00 AM,,2025-06-16 01:23:51
Customer 3,0100002,Restaurant/Café,Skeptical or Distrustful,Many times,None,6755.28,18M,"Street 112, Phnom Penh",11.526641473711049,104.91851078105135,No answer,7:00 AM,,2025-06-15 01:23:51
Customer 4,0100003,Agriculture/Farming,Talkative and Engaging,Many times,Cambodia Post Bank,4615.69,24M,"Street 97, Phnom Penh",11.554540876219342,104.92498069980684,Interested,9:00 AM,,2025-05-28 01:23:51
Customer 5,0100004,Electronics & Appliances,Quiet and Reserved,Many times,Cambodia Post Bank,6916.58,6M,"Street 408, Phnom Penh",11.580474481665584,104.86832288740574,Interested,1:00 AM,,2025-05-26 01:23:51
Customer 6,0100005,Restaurant/Café,Friendly and Open,Many times,Cambodia Post Bank,3385.62,24M,"Street 223, Phnom Penh",11.521965103406629,104.91089714412291,Interested,8:00 AM,,2025-06-04 01:23:51
Customer 7,0100006,Street Food Stall,Skeptical or Distrustful,Never,ACLEDA,5680.23,18M,"Street 85, Phnom Penh",11.560886700990753,104.86151016173748,Need follow-up,9:00 AM,2025-06-23 01.01.50.jpg,2025-06-23 01:23:51
Customer 8,0100007,Repair Services,Very Welcoming,Once,ABA,7527.23,12M,"Street 69, Phnom Penh",11.550383219987763,104.93609604807045,Interested,9:00 AM,,2025-05-29 01:23:51
Customer 9,0100008,Agriculture/Farming,Talkative and Engaging,Never,Cambodia Post Bank,2618.94,24M,"Street 452, Phnom Penh",11.583033515709298,104.90485188094488,No answer,3:00 AM,2025-06-23 01.02.39.jpg,2025-06-14 01:23:51
Customer 10,0100009,Electronics & Appliances,Interested but Cautious,Many times,None,8740.95,24M,"Street 74, Phnom Penh",11.588408508115519,104.91839475953716,Interested,1:00 AM,,2025-06-06 01:23:51
Customer 11,0100010,Tourism/Hospitality,Busy or in a Hurry,Never,ABA,4617.28,24M,"Street 359, Phnom Penh",11.536844132372044,104.90270361395987,Interested,6:00 AM,,2025-06-13 01:23:51
Customer 12,0100011,Fashion & Clothing,Talkative and Engaging,Once,None,5920.27,18M,"Street 452, Phnom Penh",11.5449754799435,104.90987161545846,No answer,2:00 AM,,2025-06-11 01:23:51
Customer 13,0100012,Fashion & Clothing,Uninterested,Once,Cambodia Post Bank,7052.76,6M,"Street 295, Phnom Penh",11.537263651689958,104.89949871337208,Interested,1:00 AM,,2025-06-03 01:23:51
Customer 14,0100013,Street Food Stall,Talkative and Engaging,Many times,None,3229.69,12M,"Street 249, Phnom Penh",11.532179221066265,104.90300153221855,Need follow-up,10:00 AM,,2025-06-08 01:23:51
Customer 15,0100014,General Retail,Friendly and Open,Many times,ACLEDA,9824.12,24M,"Street 311, Phnom Penh",11.531351590671997,104.90275163494957,Need follow-up,3:00 AM,,2025-06-21 01:23:51
Customer 16,0100015,Fashion & Clothing,Quiet and Reserved,Once,Wing,3768.72,12M,"Street 189, Phnom Penh",11.557086465351858,104.94137137970208,Need follow-up,4:00 AM,,2025-06-18 01:23:51
Customer 17,0100016,Electronics & Appliances,Busy or in a Hurry,Once,ACLEDA,9741.01,24M,"Street 269, Phnom Penh",11.521677050279344,104.9245041826009,Interested,6:00 AM,,2025-06-20 01:23:51
Customer 18,0100017,Repair Services,Very Welcoming,Many times,Cambodia Post Bank,3296.43,18M,"Street 481, Phnom Penh",11.582892125893537,104.91808458848767,Need follow-up,3:00 AM,,2025-06-23 01:23:51
Customer 19,0100018,Street Food Stall,Quiet and Reserved,Many times,Cambodia Post Bank,3789.54,24M,"Street 302, Phnom Penh",11.546711902365963,104.88496736535468,Interested,12:00 AM,,2025-06-21 01:23:51
Customer 20,0100019,Tourism/Hospitality,Busy or in a Hurry,Never,ABA,6440.2,6M,"Street 474, Phnom Penh",11.572682587595105,104.91814628987345,Repeat visit,9:00 AM,,2025-06-12 01:23:51
Customer 21,0100020,Restaurant/Café,Interested but Cautious,Once,Cambodia Post Bank,2680.72,12M,"Street 492, Phnom Penh",11.571389926047399,104.88496844274923,Need follow-up,8:00 AM,2025-06-23 01.02.46.jpg,2025-05-24 01:23:51
